Date : 2020-01-10 10:30:39
Directory : c:\Users\AORUS\Desktop\Work_Echart\EChartSimple
Total : 963 files,  175214 codes, 10070 comments, 13467 blanks, all 198751 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\展示版\能源客户视角\出线柜.js                 | JavaScript |        172 |          6 |          7 |        185 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\展示版\能源客户视角\功率因数行业排名.js            | JavaScript |        499 |         27 |         37 |        563 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\展示版\能源客户视角\功率因数详情.js              | JavaScript |        125 |          7 |          9 |        141 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\展示版\能源客户视角\区域概况.js                | JavaScript |        199 |          6 |         30 |        235 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\展示版\能源客户视角\去年电量构成-楼宇.js           | JavaScript |        268 |         12 |         25 |        305 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\展示版\能源客户视角\去年电量构成-电量峰谷.js         | JavaScript |        280 |         13 |         25 |        318 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\展示版\能源客户视角\变压器.js                 | JavaScript |        181 |         15 |          7 |        203 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\展示版\能源客户视角\各月功率因数及力率奖惩电费.js       | JavaScript |        757 |         39 |        109 |        905 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\展示版\能源客户视角\各楼层功能.js               | JavaScript |        253 |          8 |          9 |        270 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\展示版\能源客户视角\各楼层能效.js               | JavaScript |        525 |         39 |         66 |        630 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\展示版\能源客户视角\各楼层能耗.js               | JavaScript |        534 |         36 |         67 |        637 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\展示版\能源客户视角\园区年度综合能耗环比.js          | JavaScript |        466 |         14 |         29 |        509 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\展示版\能源客户视角\园区楼宇能效_单位建筑面积能耗.js     | JavaScript |        541 |         54 |         31 |        626 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\展示版\能源客户视角\园区楼宇能耗排名.js            | JavaScript |        566 |         54 |         26 |        646 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\展示版\能源客户视角\园区能效top20.js           | JavaScript |        950 |         21 |         40 |      1,011 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\展示版\能源客户视角\园区能效环比.js              | JavaScript |        649 |         12 |         29 |        690 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\展示版\能源客户视角\园区能级评价指标.js            | JavaScript |        219 |          7 |         23 |        249 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\展示版\能源客户视角\园区能耗top20.js           | JavaScript |        546 |         18 |         36 |        600 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\展示版\能源客户视角\套管温度变化.js              | JavaScript |        776 |         33 |         38 |        847 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\展示版\能源客户视角\峰谷平电量占比与峰谷比.js         | JavaScript |        719 |         10 |         97 |        826 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\展示版\能源客户视角\年供需对比曲线.js             | JavaScript |      1,049 |         21 |         32 |      1,102 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\展示版\能源客户视角\年度综合能耗环比.js            | JavaScript |        469 |         14 |         30 |        513 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\展示版\能源客户视角\张江人工智能岛.js             | JavaScript |        130 |          7 |         12 |        149 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\展示版\能源客户视角\最大设备利用率.js             | JavaScript |        668 |          8 |         96 |        772 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\展示版\能源客户视角\最大设备利用率行业排名.js         | JavaScript |        489 |         27 |         36 |        552 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\展示版\能源客户视角\楼宇概况.js                | JavaScript |        137 |          7 |         13 |        157 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\展示版\能源客户视角\温度监测-红外图谱.js           | JavaScript |        478 |         83 |         39 |        600 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\展示版\能源客户视角\用电经济性指标同行对比.js         | JavaScript |        434 |         16 |         28 |        478 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\展示版\能源客户视角\电量峰谷比行业排名.js           | JavaScript |        500 |         34 |         45 |        579 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\展示版\能源客户视角\电量峰谷比详情.js             | JavaScript |        125 |          7 |         11 |        143 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\展示版\能源客户视角\能效环比.js                | JavaScript |        656 |         11 |         34 |        701 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\展示版\能源客户视角\能级评价指标.js              | JavaScript |        236 |          7 |         16 |        259 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\展示版\能源客户视角\计量柜.js                 | JavaScript |        172 |          6 |          9 |        187 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\展示版\能源客户视角\设备利用率详情.js             | JavaScript |        125 |          7 |         13 |        145 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\展示版\能源客户视角\设备运行状况分析.js            | JavaScript |        138 |          7 |         10 |        155 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\展示版\能源客户视角\进线柜.js                 | JavaScript |        172 |          6 |          9 |        187 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\展示版\能源服务市场\ColorCard.js           | JavaScript |         44 |          0 |          5 |         49 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\展示版\能源服务市场\ColorCard.json         | JSON       |         27 |          0 |          3 |         30 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\展示版\能源服务市场\base.js                | JavaScript |         59 |          0 |          3 |         62 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\展示版\能源服务市场\产业联盟星级评定.js            | JavaScript |        436 |         32 |         37 |        505 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\展示版\能源服务市场\亿可能源服务公司.js            | JavaScript |        341 |         24 |         31 |        396 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\展示版\能源服务市场\企业标签云.js               | JavaScript |         80 |          3 |         11 |         94 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\展示版\能源服务市场\企业标签云1.js              | JavaScript |         79 |          3 |         10 |         92 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\展示版\能源服务市场\企业概况.js                | JavaScript |         80 |          6 |         15 |        101 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\展示版\能源服务市场\企业能耗.js                | JavaScript |        417 |         21 |         24 |        462 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\展示版\能源服务市场\区域概况.js                | JavaScript |        199 |          7 |         27 |        233 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\展示版\能源服务市场\历史评价.js                | JavaScript |        130 |          3 |         12 |        145 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\展示版\能源服务市场\各类商品成交趋势.js            | JavaScript |        534 |         10 |         34 |        578 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\展示版\能源服务市场\合同数量变化趋势.js            | JavaScript |        469 |         15 |         23 |        507 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\展示版\能源服务市场\客户区域分析.js              | JavaScript |        429 |         17 |         34 |        480 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\展示版\能源服务市场\客户行业分析.js              | JavaScript |        468 |         23 |         51 |        542 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\展示版\能源服务市场\客户行业分析_Old.js          | JavaScript |        358 |         36 |         35 |        429 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\展示版\能源服务市场\明星商品销量.js              | JavaScript |        409 |         17 |         31 |        457 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\展示版\能源服务市场\累计需求流失.js              | JavaScript |        462 |         23 |         39 |        524 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\展示版\能源服务市场\经营服务范围.js              | JavaScript |        119 |          3 |         12 |        134 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\展示版\能源服务市场\能效环比.js                | JavaScript |        652 |         24 |         23 |        699 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\展示版\能源服务市场\能源服务市场概括.js            | JavaScript |        173 |          7 |         22 |        202 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\展示版\能源服务市场\需求-商品成交分类占比.js         | JavaScript |        413 |         15 |         48 |        476 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\展示版\能源服务市场\需求-商品成交转换率.js          | JavaScript |        188 |          6 |         11 |        205 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\控制版\main.js                       | JavaScript |         82 |          0 |          5 |         87 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\控制版\交易总览.js                       | JavaScript |          0 |          0 |          1 |          1 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\控制版\交易详情.js                       | JavaScript |         60 |         10 |         18 |         88 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\控制版\区域分析.js                       | JavaScript |          0 |          0 |          1 |          1 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\控制版\大屏首页.js                       | JavaScript |          0 |          0 |          1 |          1 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\控制版\客户特征分析.js                     | JavaScript |         34 |          5 |         10 |         49 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\控制版\异常用能分析.js                     | JavaScript |         34 |          7 |          5 |         46 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\控制版\服务概况.js                       | JavaScript |          0 |          0 |          1 |          1 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\控制版\服务详情.js                       | JavaScript |         21 |          3 |          4 |         28 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\控制版\能源应用.js                       | JavaScript |         21 |          4 |          4 |         29 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\控制版\能源监控.js                       | JavaScript |          0 |          0 |          1 |          1 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\控制版\能源管理.js                       | JavaScript |         52 |          8 |         10 |         70 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源交易\交易总览\各类商品成交趋势.js         | JavaScript |        579 |         17 |         28 |        624 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源交易\交易总览\商品成交分类占比.js         | JavaScript |        284 |         22 |         33 |        339 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源交易\交易总览\商品成交转换率.js          | JavaScript |        124 |          3 |         11 |        138 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源交易\交易总览\客户区域分析.js           | JavaScript |        438 |         39 |         38 |        515 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源交易\交易总览\客户行业分布占比.js         | JavaScript |        455 |         24 |         54 |        533 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源交易\交易总览\搁置需求列表.js           | JavaScript |        305 |         10 |         13 |        328 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源交易\交易总览\明星商品销量.js           | JavaScript |        370 |         23 |         31 |        424 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源交易\交易总览\累计需求流失分类占比.js       | JavaScript |        440 |         50 |         36 |        526 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源交易\交易总览\能源交易左侧图元.js         | JavaScript |        253 |         24 |         35 |        312 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源交易\交易总览\能源服务商列表.js          | JavaScript |        139 |         18 |         14 |        171 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源交易\交易总览\评分占比.js             | JavaScript |        246 |         12 |         20 |        278 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源交易\交易总览\需求成交分类占比.js         | JavaScript |        272 |         35 |         36 |        343 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源交易\交易总览\需求成交转换率.js          | JavaScript |        124 |          3 |         12 |        139 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源交易\交易详情\上海日月光半导体公司.js       | JavaScript |        102 |          5 |         24 |        131 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源交易\交易详情\企业简介.js             | JavaScript |         88 |          3 |         17 |        108 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源交易\交易详情\合同评价.js             | JavaScript |         82 |          1 |         14 |         97 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源交易\交易详情\商品交易概况.js           | JavaScript |        232 |         17 |         34 |        283 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源交易\交易详情\商品信息.js             | JavaScript |        103 |          5 |         23 |        131 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源交易\交易详情\商品订单数量曲线.js         | JavaScript |        526 |         19 |         30 |        575 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源交易\交易详情\商品详情列表.js           | JavaScript |      4,311 |         12 |         20 |      4,343 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源交易\交易详情\设备购买合同.js           | JavaScript |        131 |         10 |          8 |        149 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源交易\交易详情\需求方-上海通用重工.js       | JavaScript |        106 |          5 |         11 |        122 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源交易\交易详情\需求方.js              | JavaScript |         64 |          1 |         12 |         77 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源交易\交易详情\需求详情列表.js           | JavaScript |      3,513 |         12 |         16 |      3,541 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源分析\企业分析\企业能耗综合分析.js         | JavaScript |        394 |         11 |         28 |        433 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源分析\企业分析\功率因数趋势.js           | JavaScript |      1,310 |         39 |         48 |      1,397 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源分析\企业分析\区域用能对比.js           | JavaScript |        687 |         41 |         43 |        771 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源分析\企业分析\单位面积能耗趋势.js         | JavaScript |      1,318 |         17 |         50 |      1,385 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源分析\企业分析\度电经济产值趋势.js         | JavaScript |      1,317 |         30 |         49 |      1,396 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源分析\企业分析\月度区域用能分析.js         | JavaScript |        336 |         35 |         29 |        400 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源分析\企业分析\月度设备用能分析.js         | JavaScript |        348 |         40 |         32 |        420 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源分析\企业分析\碳排放趋势.js            | JavaScript |      1,319 |         82 |         54 |      1,455 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源分析\企业分析\综合能耗同比环比对比.js       | JavaScript |      1,273 |         32 |         34 |      1,339 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源分析\企业分析\设备用能对比.js           | JavaScript |        685 |         48 |         44 |        777 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源分析\区域分析\产业能源消费占比.js         | JavaScript |        259 |         18 |         19 |        296 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源分析\区域分析\区域概况.js             | JavaScript |         73 |          1 |         11 |         85 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源分析\区域分析\各区域碳排放.js           | JavaScript |        394 |         22 |         39 |        455 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源分析\区域分析\各区域综合能耗.js          | JavaScript |        395 |         15 |         39 |        449 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源分析\区域分析\各区能效.js             | JavaScript |        589 |         13 |         52 |        654 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源分析\区域分析\各行业万元产值能耗.js        | JavaScript |        511 |          9 |         30 |        550 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源分析\区域分析\各行业综合能耗.js          | JavaScript |        521 |         13 |         39 |        573 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源分析\区域分析\行业能源消费占比.js         | JavaScript |        311 |         12 |         21 |        344 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源分析\区域分析\行业能源消费占比_Old.js     | JavaScript |        457 |         22 |         54 |        533 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源分析\区域分析\近30天耗能趋势.js         | JavaScript |      1,383 |         30 |         44 |      1,457 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源分析\区域分析\重点企业监控能耗.js         | JavaScript |        526 |         23 |         33 |        582 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源分析\客户特征分析\企业标签演变趋势.js       | JavaScript |        480 |         32 |         30 |        542 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源分析\客户特征分析\企业概况.js           | JavaScript |        126 |          4 |          8 |        138 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源分析\客户特征分析\客户特征分析地图.js       | JavaScript |        291 |         17 |         10 |        318 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源分析\客户特征分析\标签企业列表.js         | JavaScript |         87 |          2 |          6 |         95 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源分析\客户特征分析\标签分类占比.js         | JavaScript |        622 |          8 |         17 |        647 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源分析\客户特征分析\标签概况.js           | JavaScript |        281 |         30 |         30 |        341 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源分析\客户特征分析\标签调用排行.js         | JavaScript |         98 |          0 |         11 |        109 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源分析\异常用能分析\人工复检结果.js         | JavaScript |        129 |          1 |         12 |        142 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源分析\异常用能分析\企业异常事件.js         | JavaScript |        289 |          6 |         14 |        309 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源分析\异常用能分析\企业标签.js           | JavaScript |         86 |          1 |         10 |         97 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源分析\异常用能分析\区域异常排名.js         | JavaScript |        381 |         27 |         36 |        444 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源分析\异常用能分析\年度异常原因变化分析.js     | JavaScript |        642 |         17 |         28 |        687 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源分析\异常用能分析\异常事件列表.js         | JavaScript |        849 |          7 |         24 |        880 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源分析\异常用能分析\异常事件详情.js         | JavaScript |        279 |         33 |         43 |        355 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源分析\异常用能分析\异常原因AI判断.js       | JavaScript |        260 |         16 |         25 |        301 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源分析\异常用能分析\本月异常.js           | JavaScript |        233 |         14 |         36 |        283 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源分析\异常用能分析\行业异常排名.js         | JavaScript |        492 |         39 |         45 |        576 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源分析\异常用能分析\预判准确率趋势.js        | JavaScript |        472 |         18 |         30 |        520 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源应用\专家入驻趋势.js                | JavaScript |        426 |         60 |         28 |        514 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源应用\专家排行.js                  | JavaScript |        155 |         19 |          9 |        183 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源应用\优秀成果及孵化项目.js             | JavaScript |        405 |         39 |         37 |        481 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源应用\各类金融类排行.js               | JavaScript |        155 |         19 |          9 |        183 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源应用\合同数量增长趋势.js              | JavaScript |      1,040 |         52 |         24 |      1,116 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源应用\成功案例建设趋势.js              | JavaScript |        433 |         59 |         26 |        518 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源应用\成功案例排行.js                | JavaScript |        155 |         19 |          9 |        183 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源应用\最新事件列表.js                | JavaScript |        221 |         11 |          9 |        241 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源应用\能源俱乐部事件排行.js             | JavaScript |        155 |         19 |          9 |        183 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源应用\能源俱乐部类型分类.js             | JavaScript |        365 |         21 |         31 |        417 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源应用\金融产品接入趋势.js              | JavaScript |        433 |         59 |         27 |        519 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源应用\金融渠道类型分布.js              | JavaScript |        226 |         15 |         36 |        277 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源应用\领域入驻专家.js                | JavaScript |        440 |         42 |         33 |        515 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源服务\定制服务-区域对比.js             | JavaScript |        364 |         20 |         30 |        414 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源服务\定制服务-行业对比.js             | JavaScript |        506 |         34 |         42 |        582 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源服务\定制服务-订单状态.js             | JavaScript |        109 |          1 |         15 |        125 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源服务\定制服务.js                  | JavaScript |         97 |          3 |         13 |        113 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源服务\定制服务列表.js                | JavaScript |        305 |          9 |          8 |        322 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源服务\定制服务消费月排行.js             | JavaScript |        208 |          6 |         10 |        224 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源服务\定制服务用户历史订单.js            | JavaScript |        163 |          9 |          8 |        180 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源服务\定制服务类型分布.js              | JavaScript |        268 |         16 |         18 |        302 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源服务\定制服务订单成果.js              | JavaScript |        182 |          9 |          8 |        199 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源服务\定制服务详情.js                | JavaScript |        110 |          4 |          7 |        121 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源服务\定制服务趋势.js                | JavaScript |        545 |         91 |         23 |        659 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源服务\报告订单服务-区域对比.js           | JavaScript |        360 |         20 |         34 |        414 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源服务\报告订单服务-行业对比.js           | JavaScript |        506 |         34 |         41 |        581 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源服务\报告订单服务-订单状态.js           | JavaScript |        108 |          1 |         14 |        123 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源服务\报告订单服务.js                | JavaScript |         97 |          3 |         15 |        115 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源服务\报告订单服务列表.js              | JavaScript |        305 |          9 |          9 |        323 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源服务\报告订单服务消费月排行.js           | JavaScript |        208 |          6 |         10 |        224 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源服务\报告订单服务用户历史订单.js          | JavaScript |        163 |          9 |          9 |        181 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源服务\报告订单服务类型分布.js            | JavaScript |        248 |         16 |         20 |        284 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源服务\报告订单服务订单成果.js            | JavaScript |        182 |          9 |          9 |        200 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源服务\报告订单服务详情.js              | JavaScript |        110 |          4 |          9 |        123 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源服务\报告订单服务趋势.js              | JavaScript |        545 |         91 |         24 |        660 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源服务\接入服务-区域对比.js             | JavaScript |        364 |         20 |         31 |        415 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源服务\接入服务-行业对比.js             | JavaScript |        506 |         34 |         41 |        581 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源服务\接入服务-订单状态.js             | JavaScript |        113 |          1 |         14 |        128 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源服务\接入服务类型分布.js              | JavaScript |        256 |         16 |         19 |        291 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源服务\接入服务详情.js                | JavaScript |        110 |          4 |          8 |        122 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\js\监控版\能源服务\接入详情.js                  | JavaScript |        305 |          9 |          8 |        322 |
